Seriation_Number	Assemblage	Parkin_Punctated	Barton/Kent/MPI	Painted	Fortune_Noded	Ranch_Incised	Walls_Engraved	Wallace_Incised	Rhodes_Incised	Vernon_Paul_Applique	Hull_Engraved
94	13-N-5	35	11	33	0	0	0	0	0	0	0
94	12-N-3	549	328	77	19	4	0	3	1	2	0
94	11-O-10	404	208	6	16	4	0	0	0	0	0

95	13-N-5	35	11	33	0	0	0	0	0	0	0
95	11-N-1	865	323	59	17	35	0	0	0	4	0
95	11-N-9	528	198	13	0	19	0	0	0	0	0

96	13-N-5	35	11	33	0	0	0	0	0	0	0
96	11-N-1	865	323	59	17	35	0	0	0	4	0
96	13-O-10	60	74	79	0	2	8	0	2	0	0

97	13-N-5	35	11	33	0	0	0	0	0	0	0
97	11-N-1	865	323	59	17	35	0	0	0	4	0
97	10-P-1	39	62	46	0	0	0	0	0	0	6

98	13-N-5	35	11	33	0	0	0	0	0	0	0
98	11-N-1	865	323	59	17	35	0	0	0	4	0
98	11-O-10	404	208	6	16	4	0	0	0	0	0

99	13-N-5	35	11	33	0	0	0	0	0	0	0
99	11-N-1	865	323	59	17	35	0	0	0	4	0
99	12-N-3	549	328	77	19	4	0	3	1	2	0

100	13-N-5	35	11	33	0	0	0	0	0	0	0
100	13-O-5	923	637	42	12	33	27	14	13	5	2
100	11-N-9	528	198	13	0	19	0	0	0	0	0

101	13-N-5	35	11	33	0	0	0	0	0	0	0
101	13-O-5	923	637	42	12	33	27	14	13	5	2
101	13-O-10	60	74	79	0	2	8	0	2	0	0

102	13-N-5	35	11	33	0	0	0	0	0	0	0
102	13-O-5	923	637	42	12	33	27	14	13	5	2
102	10-P-1	39	62	46	0	0	0	0	0	0	6

103	13-N-5	35	11	33	0	0	0	0	0	0	0
103	13-O-5	923	637	42	12	33	27	14	13	5	2
103	11-O-10	404	208	6	16	4	0	0	0	0	0

104	13-N-5	35	11	33	0	0	0	0	0	0	0
104	13-O-5	923	637	42	12	33	27	14	13	5	2
104	12-N-3	549	328	77	19	4	0	3	1	2	0

105	13-N-5	35	11	33	0	0	0	0	0	0	0
105	13-O-5	923	637	42	12	33	27	14	13	5	2
